Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,,
0,A Bozios,Fog Computing: Architecture and Security aspects,2018,,diva-portal.org,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1285240,,542,,,
0,"S Thilagamani, A Jayanthiladevi, ...","Data Mining Algorithms, Fog Computing",2018,… and Fog Computing …,igi-global.com,https://www.igi-global.com/chapter/data-mining-algorithms-fog-computing/204273,,543,,,
5,"N Seydoux, K Drira, N Hernandez, T Monteil",Towards Cooperative Semantic Computing: a Distributed Reasoning approach for Fog-enabled SWoT,2018,"… Conferences"" On the Move …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-02610-3_23,"https://scholar.google.com/scholar?cites=4707495604992658047&as_sdt=2005&sciodt=0,5&hl=en",545,,,
0,"J Lim, I Doh, K Chae",Dynamic group key management for efficient fog computing,2018,… and Internet Services in Ubiquitous Computing,Springer,https://link.springer.com/chapter/10.1007/978-3-319-93554-6_67,,548,,,
0,"A Mateen, Q Zhu, S Afsar, W Rashid",Optimization of Fog Computing Based Radio Access Networks,2018,Proceedings of the 7th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3330089.3330120,,551,,,
0,"A Abtoy, A El Murabet",The Fog Computing Paradigm for the Internet of Things,2018,American Journal of Computer …,openscienceonline.com,http://www.openscienceonline.com/journal/archive2?journalId=742&paperId=4563,,552,,,
0,"A Bhardwaj, S Goundar",Unique Taxonomy for Evaluating Fog Computing Services,2018,… Journal of E-Business Research (IJEBR),igi-global.com,https://www.igi-global.com/article/unique-taxonomy-for-evaluating-fog-computing-services/213980,,553,,,
1,"MR Ogiela, L Ogiela",Behavioral Security in Cloud and Fog Computing,2018,"… Conference on Emerging Internetworking, Data & …",Springer,https://link.springer.com/chapter/10.1007/978-3-319-75928-9_77,"https://scholar.google.com/scholar?cites=18012507113787140729&as_sdt=2005&sciodt=0,5&hl=en",554,,,
0,"L Wang, L Li",Fog Computing-Based Differential Positioning Method for BDS,2018,Wireless Communications and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/3173067/abs/,,555,,,
1,"WS Zheng, LH Yen",Auto-scaling in Kubernetes-Based Fog Computing Platform,2018,International Computer Symposium,Springer,https://link.springer.com/chapter/10.1007/978-981-13-9190-3_35,"https://scholar.google.com/scholar?cites=7109675388891528471&as_sdt=2005&sciodt=0,5&hl=en",556,,,
2,"M Zahid, N Javaid, K Ansar, K Hassan, ...",Hill Climbing Load Balancing Algorithm on Fog Computing,2018,… and Internet Computing,Springer,https://link.springer.com/chapter/10.1007/978-3-030-02607-3_22,"https://scholar.google.com/scholar?cites=684434627926750900&as_sdt=2005&sciodt=0,5&hl=en",557,,,
0,"S Feng, Z Xiong, D Niyato, P Wang, ...",Evolving Risk Management Against Advanced Persistent Threats in Fog Computing,2018,2018 IEEE 7th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8549403/,,558,,,
0,"X Li, B Yang",Fog Computing and Security Infrastructure of Internet of Things,2018,2018 2nd International Conference on Artificial …,atlantis-press.com,https://www.atlantis-press.com/proceedings/icaita-18/25894190,,559,,,
2,"TS Mohammed, OF Khan, AS Ibrahim, ...",Fog Computing-Based Model for Mitigation of Traffic Congestion,2018,International Journal of …,researchgate.net,https://www.researchgate.net/profile/Ahmmed_Saadi/publication/325385071_Fog_computing-based_model_for_mitigation_of_traffic_congestion/links/5c794e18a6fdcc4715a6bb92/Fog-computing-based-model-for-mitigation-of-traffic-congestion.pdf,"https://scholar.google.com/scholar?cites=14879723728887394931&as_sdt=2005&sciodt=0,5&hl=en",560,,,
0,"V Struhár, AV Papadopoulos, ...",Work-in-Progress: Fog Computing for Adaptive Human-Robot Collaboration,2018,… on Embedded Software …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8537213/,,561,,,
0,"V Struhár, AV Papadopoulos, M Behnam",Fog computing for adaptive human-robot collaboration: work-in-progress,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/ft_gateway.cfm?id=3283549&type=pdf,,562,,,
0,"G Rakshith, MV Rahul, GS Sanjay, ...",Resource Provisioning Framework for IoT Applications in Fog Computing Environment,2018,2018 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8710172/,,564,,,
0,"CV Raghavendran, A Patil, ...",Challenges and Opportunities in Extending Cloud with Fog Computing,2018,… of Engineering & …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/7ce6/513af3eabbde8017739da407436f926d3c2c.pdf,,565,,,
1,"G Castellano, F Risso, R Loti",Fog Computing over Challenged Networks: a Real Case Evaluation,2018,2018 IEEE 7th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8549354/,"https://scholar.google.com/scholar?cites=12815957482083092533&as_sdt=2005&sciodt=0,5&hl=en",567,,,
0,"TY Lin, CS Fuh",Zero-Knowledge Realization of Software-Defined Gateway in Fog Computing.,2018,KSII Transactions on Internet & Information …,csie.ntu.edu.tw,https://www.csie.ntu.edu.tw/~fuh/personal/Zero-KnowledgeRealizationofSoftware-DefinedGatewayinFogComputing.pdf,,568,,,
1,"E Gomes, MAR Dantas, P Plentz",A Real-Time Fog Computing Approach for Healthcare Environment,2018,"… , Grid, Cloud and Internet Computing",Springer,https://link.springer.com/chapter/10.1007/978-3-030-02607-3_8,"https://scholar.google.com/scholar?cites=6720042015156257128&as_sdt=2005&sciodt=0,5&hl=en",569,,,
0,"Y Fu, D Li, F Tian, Y Guo",Renewable Energy-Aware IoT Data Aggregation for Fog Computing,2018,International Conference in Communications …,Springer,https://link.springer.com/chapter/10.1007/978-981-13-6508-9_104,,570,,,
0,"P Maiti, J Shukla, B Sahoo, AK Turuk",Mathematical Model of Fog Computing Architecture for IoT Micro-Services,2018,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/dfc3/7fcd6d8c76998fe0080b68187ab226290da8.pdf,,572,,,
0,"F Bi, X Miao, W Chen, W Fang, ...",An Overview on the Applications and Security Issues of Fog Computing,2018,… Green Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8726748/,,573,,,
0,"J Cai, B Qin, F Zheng, S Li, Y Luo, ...",Design and Application of Innovative Teaching Platform Based on Fog Computing,2018,2018 2nd International …,atlantis-press.com,https://www.atlantis-press.com/proceedings/iceiss-18/25907349,,574,,,
0,C Scheideler,Relays: Towards a Link Layer for Robust and Secure Fog Computing,2018,"… for Integrated Cloud, Fog and Edge Computing …",dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3229774.3229781,,575,,,
0,"AE Agoni, M Dlodlo",IP Spoofing Detection for Preventing DDoS Attack in Fog Computing,2018,2018 Global Wireless Summit (GWS),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8686626/,,577,,,
0,D Carrera,City of Barcelona's deployment of fog computing for improved citizen and city services,2018,2018 Fifth International Conference on Software …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8370411/,,579,,,
1,"R Madhumathi, R Dharshana, R Sulthana, ...",A Comprehensive Survey of IoT Edge/Fog Computing Protocols,2018,… and Fog Computing …,igi-global.com,https://www.igi-global.com/chapter/a-comprehensive-survey-of-iot-edgefog-computing-protocols/204266,"https://scholar.google.com/scholar?cites=3839778804815762303&as_sdt=2005&sciodt=0,5&hl=en",580,,,
0,"D RAHBARI, M NICKRAY",SCHEDULING OF MODULES IN FOG COMPUTING BY KNAPSACK-BASED SYMBIOTIC ORGANISMS SEARCH,2018,,sid.ir,https://www.sid.ir/en/journal/ViewPaper.aspx?ID=598176,,581,,,
1,"LA Mohammed, K Munir",Secure Third Party Auditor (TPA) for Ensuring Data Integrity in Fog Computing,2018,… Journal of Network Security & Its …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3311411,"https://scholar.google.com/scholar?cites=16764204514196880762&as_sdt=2005&sciodt=0,5&hl=en",582,,,
2,"SH Abbasi, N Javaid, MH Ashraf, M Mehmood, ...",Load Stabilizing in Fog Computing Environment Using Load Balancing Algorithm,2018,… and Wireless Computing …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-02613-4_66,"https://scholar.google.com/scholar?cites=11097310703765499612&as_sdt=2005&sciodt=0,5&hl=en",584,,,
0,"B Confais, A Lebre, B Parrein",Improving locality of an object store in a Fog Computing environment,2018,,silecs.loria.fr,https://silecs.loria.fr/wp-content/uploads/2018/05/slides-confais.pdf,,587,,,
0,"A Jayanthiladevi, S Murugan, ...","Text, Images, and Video Analytics for Fog Computing",2018,… Cloud and Fog Computing …,igi-global.com,https://www.igi-global.com/chapter/text-images-and-video-analytics-for-fog-computing/204279,,588,,,
2,"E Rocha, K Monteiro, E Silva, GL Santos, ...",Detecting epileptic seizures using deep learning with cloud and fog computing,2018,… Cloud Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8605748/,"https://scholar.google.com/scholar?cites=1344410650769096842&as_sdt=2005&sciodt=0,5&hl=en",589,,,
1,"E Melnik, A Klimenko, V Klimenko",A Recovery Technique for the Fog-Computing-Based Information and Control Systems,2018,Proceedings of the Computational …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-00184-1_20,"https://scholar.google.com/scholar?cites=12310425185217962216&as_sdt=2005&sciodt=0,5&hl=en",590,,,
1,"A Alnoman, A Anpalagan",On Base Station Sleeping for Heterogeneous Cloud-Fog Computing Networks,2018,2018 29th Biennial Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8494703/,"https://scholar.google.com/scholar?cites=18093056765074742961&as_sdt=2005&sciodt=0,5&hl=en",591,,,
0,"RS Aakash, M Nishanth, R Rajageethan, ...",Data Mining Approach to Predict Forest Fire Using Fog Computing,2018,… Computing and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8663160/,,592,,,
0,홍성혁,Research on Security Model and Requirements for Fog Computing: Survey,2018,한국융합학회논문지,dbpia.co.kr,http://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE09012284,,593,,,
0,V Zybin Serhii,THE FOG COMPUTING IS THE ONE OF SIX PILLARS OF THE INTERNET OF THINGS SYSTEM,2018,Цифровое будущее на основе 4G/5G»“Digital Future …,dut.edu.ua,http://www.dut.edu.ua/uploads/n_5644_93649490.pdf#page=118,,594,,,
0,"F Zhang, Z Tang, M Chen, X Zhou, ...",A Dynamic Resource Overbooking Mechanism in Fog Computing,2018,2018 IEEE 15th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8567545/,,596,,,
0,R Finkbeiner,Extension of an evaluation testbed for fog computing Infrastructures and applications,2018,,elib.uni-stuttgart.de,http://elib.uni-stuttgart.de/handle/11682/9960,,598,,,
0,"T Brooks, SK Chin, E Devendorf",Introduction to the Minitrack on Cyber-Assurance for Internet of Things and Fog Computing Architectures,2018,… of the 51st …,scholarspace.manoa.hawaii.edu,https://scholarspace.manoa.hawaii.edu/bitstream/10125/50581/paper0694.pdf,,599,,,
0,J He,An industrial internet architecture based on SDN and fog computing,2018,,open.library.ubc.ca,https://open.library.ubc.ca/collections/24/24/items/1.0363154,,601,,,
0,"C Lu, H Liu",Generative Adversarial Networks Based Industrial Protocol Construction in the Fog Computing,2018,2018 IEEE 43rd Conference on Local Computer …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8638069/,,602,,,
0,"V Ramperez, J Soriano, D Lizcano",A Multidomain Standards-Based Fog Computing Architecture for Smart Cities,2018,… and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/4019858/abs/,,604,,,
1,"MS Raghavendra, P Chawla",A Review on Container-Based Lightweight Virtualization for Fog Computing,2018,2018 7th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8748346/,"https://scholar.google.com/scholar?cites=7306773093387558102&as_sdt=2005&sciodt=0,5&hl=en",605,,,
0,"T Veerraju, KK Kumar",A survey on fog computing: research challenges in security and privacy issues,2018,International Journal of …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/1b5b/dd0e1e9c37eab5df506e9a881ba10694fe1b.pdf,,606,,,
0,A Mitra,Selection of cost-effective prime source towards possible uses in Fog Computing,2018,2018 2nd International Conference on Data Science …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8588880/,,607,,,
0,"TP Kumar, B Eswar, PA Reddy, ...",An efficient fog computing for comprising approach to avoid data theft attack,2018,… of Engineering & …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/bef1/43a53210658667c5ccd606fb598ccfb7f03a.pdf,,610,,,
0,"K Sekhar Roy, H Kumar Kalita",IoT Authentication Scheme using Niederreiter Cryptosystem in Fog Computing Environment,2018,International Journal of …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3354558,,611,,,
1,"BW Kwon, J Kang, JH Park",A Fog Computing-Based Automotive Data Overload Protection System with Real-Time Analysis,2018,Advanced Multimedia and Ubiquitous …,Springer,https://link.springer.com/chapter/10.1007/978-981-13-1328-8_89,"https://scholar.google.com/scholar?cites=8020306634673565450&as_sdt=2005&sciodt=0,5&hl=en",612,,,
0,"H Chen, L Du, Y Lu, H Gao",Improved Convolutional Neural Network for Chinese Sentiment Analysis in Fog Computing,2018,… Communications and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/9340194/abs/,,613,,,
0,D Carrera,Keynote speech 2: City of Barcelona's deployment of fog computing for improved citizen and city services,2018,… Conference on Fog and Mobile Edge Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8364034/,,614,,,
1,"N Tomar, R Matam",Optimal Query-Processing-Node Discovery in IoT-Fog Computing Environment,2018,… Conference on Advances in Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8554823/,"https://scholar.google.com/scholar?cites=12313092618801287224&as_sdt=2005&sciodt=0,5&hl=en",615,,,
0,"I Kalyaev, E Melnik, I Korovin, ...",A Fog Computing-based Method to Information and Control System Reliability Enhancement,2018,2018 Joint 7th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8641036/,,616,,,
0,"A Avadhani, A Chaudhari, A Powar, I Borse, ...",Database Management and Storage Optimization Using Data De-Duplication and Fog Computing,2018,…,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/838f/55fdc5f7222a6c1843490d58281824461be8.pdf,,617,,,
1,FM Salem,A Secure Privacy-Preserving Mutual Authentication Scheme for Publish-Subscribe Fog Computing,2018,2018 14th International Computer Engineering …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8636111/,"https://scholar.google.com/scholar?cites=6479290479752110010&as_sdt=2005&sciodt=0,5&hl=en",618,,,
0,"T Mononen, MM Aref, J Mattila",Filtering Scheme for Context-Aware Fog Computing in Cyber-Physical Systems,2018,2018 14th IEEE/ASME …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8449153/,,619,,,
0,"M Sunkari, RK Neelisetti",A Decision Tree-Based Middle Ware Platform for Deploying Fog Computing Services,2018,Progress in Intelligent Computing Techniques …,Springer,https://link.springer.com/chapter/10.1007/978-981-10-3376-6_33,,620,,,
0,"GSG Deepika, PS Kiran",Vehicular Fog Computing: The Need for a New Paradigm and its Issues,2018,International Journal of …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/a544/d2af588681d0eb6110c01d8804454ca676b3.pdf,,621,,,
0,"H Shi, Y Feng, R Luo, J Zheng",Multi-objective Optimization for IoT Devices Association in Fog-Computing Based RAN,2018,… Conference on Internet of Things as a …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-14657-3_34,,622,,,
0,"F Sharevski, S Oteafy",Security for Cyber-Physical Systems: Leveraging Cellular Networks and Fog Computing,2018,arXiv preprint arXiv:1806.11053,arxiv.org,https://arxiv.org/abs/1806.11053,,623,,,
0,"SSS Bukhari, MT Banday",A Comperative Study of Cloud and Fog Computing with Reference toInternet of Things,2018,2018 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8687097/,,624,,,
0,"K Thurston, DC de Leon",The Healthcare IoT Ecosystem: Advantages of Fog Computing Near the Edge,2018,2018 IEEE/ACM International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8648669/,,626,,,
0,"F Nizzi, T Pecorella, A Bonadio, F Chiti, ...",FOG-oriented Joint Computing and Networking: the GAUChO Project Vision,2018,2018 AEIT …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8577215/,,627,,,
0,C Gottardelli,FOG COMPUTING: THE KEYSTONE FOR THE FUTURE OF INDUSTRIAL IoT. IMPACTS ON LEAN PRODUCTION ENVIRONMENTS.,2018,,dspace.unive.it,http://dspace.unive.it/handle/10579/13667,,629,,,
0,UTT Masood,Mobility of Internet of Things and Fog Computing: Concerns and Future Directions.,2018,,repository.psau.edu.sa,http://repository.psau.edu.sa/xmlui/handle/123456789/5011,,630,,,
0,"AJ Kadhim, SAH Seno, ...",Routing Strategy for Internet of Vehicles based on Hierarchical SDN and Fog Computing,2018,Journal of University of …,journalofbabylon.com,https://journalofbabylon.com/index.php/JUBPAS/article/view/1896,,632,,,
0,UTM Tariq,Mobility of Internet of Things and Fog Computing: Concerns and Future Directions,2018,,repository.psau.edu.sa,http://repository.psau.edu.sa/jspui/handle/123456789/2763,,633,,,
0,E Elie,Intel Optane™ technology as differentiator for internet of everything and fog computing,2018,2018 Fifth International Conference on Software …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8370412/,,634,,,
2,"S Imai, CA Varela, S Patterson",A Performance Study of Geo-Distributed IoT Data Aggregation for Fog Computing,2018,… on Utility and Cloud Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8605792/,"https://scholar.google.com/scholar?cites=4361014879809249711&as_sdt=2005&sciodt=0,5&hl=en",635,,,
0,"AJ Kadhim, SAH Seno",Resource Management Technique for IoT in Fog Computing Supported by Distributed SDN,2018,Association of Arab Universities Journal of …,ijcpe.edu.iq,https://ijcpe.edu.iq/index.php/auisseng/article/view/163,,636,,,
1,"J Jijin, BC Seet",Opportunistic Fog Computing for 5G Radio Access Networks: A Position Paper,2018,International Conference on Smart Grid Inspired Future …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-94965-9_9,"https://scholar.google.com/scholar?cites=11017419592210270537&as_sdt=2005&sciodt=0,5&hl=en",637,,,
0,"TP Singh, EN Kapoor",Clustering and multicasting scheme for fog computing based vehicular ad hoc network,2018,International Journal of …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/c581/46873ea6420d96435a579edbc6264f0e358c.pdf,,638,,,
0,"K Madhavi, N Bhutkar, P Kadu, B Bhagat",Secure Data Access Control with Cipher Text and It's Outsourcing in Fog Computing,2018,,academia.edu,https://www.academia.edu/download/56794394/IRJET-V5I3821.pdf,,639,,,
0,"DV Gadasin, AV Shvedov, ...",The concept “fog computing”—The evolutionary stage of development of infocommunication technologies,2018,… in the Field of on Board …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8350582/,,640,,,
0,J Youn,Vehicular Fog Computing Based Traffic Information Delivery System to Support Connected Self-driving Vehicles in Intersection Environment,2018,… in Computer Science and Ubiquitous Computing,Springer,https://link.springer.com/chapter/10.1007/978-981-13-9341-9_35,,641,,,
0,"JP Martin, A Kandasamy, ...",Unraveling the Challenges for the Application of Fog Computing in Different Realms: A Multifaceted,2018,… Intelligent Computing …,books.google.com,https://books.google.com/books?hl=en&lr=&id=QoFuDwAAQBAJ&oi=fnd&pg=PA480&dq=fog+computing&ots=C5mgZp41dp&sig=7QnHIM4WE5cjTw2l4busyfiJ7Dk,,642,,,
0,"MS Raghavendra, P Chawla",A Survey on QOS and Fault Tolerance based Service Scheduling Techniques in Fog Computing Environment,2018,2018 7th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8748596/,,644,,,
0,"S Anwar, A Ajmal, F Hayder, S Bibi","Evaluating Cloud & Fog Computing based on Shifting & Scheduling Algorithms, Latency Issues and service Architecture",2018,International Journal of …,academia.edu,http://www.academia.edu/download/56947420/02_Paper_31051807_IJCSIS_Camera_Ready_pp.9-14.pdf,,645,,,
0,SA Memon,Leveraging Machine Learning for Efficient Mobility Management and Data Transmission in Fog Computing,2018,,digitool.library.mcgill.ca,http://digitool.library.mcgill.ca/thesisfile163916.pdf,,647,,,
1,"X Xu, K Liu, K Xiao, H Ren, L Feng, ...",Design and Implementation of a Fog Computing Based Collision Warning System in VANETs,2018,2018 IEEE Symposium …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8805783/,"https://scholar.google.com/scholar?cites=9090847782148882213&as_sdt=2005&sciodt=0,5&hl=en",648,,,
0,"A Choudhary, T Nikam, R Singh, Y Kawle, A Tambe",Fog computing: Mitigating insider data theft attacks in the cloud,2018,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/de51/09bcbdeef4507f8aa62e2db303224dc8804b.pdf,,649,,,
0,"HM Chu, SW Yang, P Pillai, YK Chen",Scheduling in Visual Fog Computing: NP-Completeness and Practical Efficient Solutions,2018,Thirty-Second AAAI Conference on …,aaai.org,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewPaper/16426,,650,,,
0,K Suankaewmanee,Auction Mechanisms in Cloud/Fog Computing Resource Allocation for Public Blockchain Networks,2018,arXiv preprint arXiv:1804.09961,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/8049/f22dd171b6f1be6f6f70316b22d724c18240.pdf,,651,,,
0,"C Cappiello, P Plebani, M Vitali",A Data Utility Model for Data-Intensive Applications in Fog Computing,2018,Fog Computing: Concepts …,books.google.com,https://books.google.com/books?hl=en&lr=&id=sPBjDwAAQBAJ&oi=fnd&pg=PA183&dq=fog+computing&ots=7QdLIC9uIj&sig=GsdD_GDv8P02QdILu8Ggjk-8Sfk,,652,,,
0,LA Steffenel,Improving the Performance of Fog Computing through the use of Data Locality,2018,… Architecture and High Performance Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8645879/,,653,,,
0,"MJ Ali, N Javaid, M Rehman, MU Sharif, ...",State Based Load Balancing Algorithm for Smart Grid Energy Management in Fog Computing,2018,… on Intelligent Networking …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-98557-2_20,,655,,,
0,E Elie,Keynote speech 3: Intel Optane™ technology as differentiator for Internet of everything and fog computing,2018,… Conference on Fog and Mobile Edge Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8364035/,,656,,,
0,"EP Valentini, DD Lieira, LHV Nakamura, ...",MOMMA: A Flexible Architecture Based on Fog Computing for Mobility Management,2018,… IEEE Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8538737/,,657,,,
0,"P Maiti, KS Sahoo, B Sahoo, ...",Smart Gateway Based Multi-Tier Service-Oriented Fog Computing Architecture for Achieving Ultra-Low Latency,2018,2018 International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8724377/,,658,,,
2,"V Rampérez, J Soriano, D Lizcano",A multidomain standards-based fog computing architecture. Hindawi Wireless Communications and Mobile Computing Volume,2018,,Wiley,,"https://scholar.google.com/scholar?cites=17067570457994675061&as_sdt=2005&sciodt=0,5&hl=en",660,,,
2,MG PENG,5G wireless access network: fog computing and cloud computing,2018,Telecommunications Science,,,"https://scholar.google.com/scholar?cites=8403347342207220026&as_sdt=2005&sciodt=0,5&hl=en",661,,,
2,K Ismail,Edge Computing vs. Fog Computing: What's the Difference,2018,"Simpler Media Group, Inc",,,"https://scholar.google.com/scholar?cites=10913303574955402674&as_sdt=2005&sciodt=0,5&hl=en",662,,,
1,"A Alnoman, A Anpalagan",A Dynamic Priority Service Provision Scheme for Delay-Sensitive Applications in Fog Computing,2018,2018 29th Biennial Symposium on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8494691/,"https://scholar.google.com/scholar?cites=15747171418044764913&as_sdt=2005&sciodt=0,5&hl=en",663,,,
0,"JP de Araujo Neto, DM Pianto, ...",A Fault-Tolerant Agent-Based Architecture for Transient Servers in Fog Computing,2018,… Performance Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8645859/,,664,,,
0,"JPA Neto, DM Pianto, CG Ralha",An Agent-Based Fog Computing Architecture for Resilience on Amazon EC2 Spot Instances,2018,2018 7th Brazilian …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8575640/,,665,,,
0,"MA Elsharkawey, HE Refaat",MLRTS: Multi-Level Real-Time Scheduling Algorithm for Load Balancing in Fog Computing Environment,2018,International Journal of Modern …,mecs-press.net,http://www.mecs-press.net/ijmecs/ijmecs-v10-n2/IJMECS-V10-N2-1.pdf,,666,,,
0,"L Lu, T Wang, W Ni, K Li, B Gao",Fog Computing-Assisted Energy-Efficient Resource Allocation for High-Mobility MIMO-OFDMA Networks,2018,… and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/5296406/abs/,,667,,,
1,"J Xiao, M Zhang, H Tian, B Huang, ...",Prognostics and health management system for hydropower plant based on fog computing and docker container,2018,IOP Conference Series …,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1755-1315/121/4/042029/meta,"https://scholar.google.com/scholar?cites=10645717018187483557&as_sdt=2005&sciodt=0,5&hl=en",668,,,
2,IEEE Standards Association,IEEE standard for adoption of OpenFog reference architecture for fog computing,2018,,,,"https://scholar.google.com/scholar?cites=10359285239583592130&as_sdt=2005&sciodt=0,5&hl=en",669,,,
2,K Vidyasankar,Atomicity of executions in fog computing architectures,2018,Proceedings of the Twenty Seventh International …,,,"https://scholar.google.com/scholar?cites=12208298914458165569&as_sdt=2005&sciodt=0,5&hl=en",670,,,
2,B Butler,What is fog computing? Connecting the cloud to things,2018,Network World,,,"https://scholar.google.com/scholar?cites=10383629754524083740&as_sdt=2005&sciodt=0,5&hl=en",671,,,
2,J Collier,Three Ways Fog Computing is Impacting Education,2018,Retrived from,,,"https://scholar.google.com/scholar?cites=6526805666158060579&as_sdt=2005&sciodt=0,5&hl=en",672,,,
3,"S Naveen, MR Kounte",Machine learning based fog computing as an enabler of IoT,2018,International Conference on New Trends in …,,,"https://scholar.google.com/scholar?cites=17895677509982343052&as_sdt=2005&sciodt=0,5&hl=en",673,,,
2,OpenFog Consortium,IEEE approved draft standard for adoption of OpenFog reference architecture for fog computing,2018,IEEE P1934 D,,,"https://scholar.google.com/scholar?cites=2577132189099215002&as_sdt=2005&sciodt=0,5&hl=en",674,,,
3,OpenFog Consortium,Fog Computing Use Cases,2018,,,,"https://scholar.google.com/scholar?cites=18004174195470631681&as_sdt=2005&sciodt=0,5&hl=en",675,,,
2,C Byers,Fog computing for industrial automation,2018,Control Eng,,,"https://scholar.google.com/scholar?cites=9148918565861301638&as_sdt=2005&sciodt=0,5&hl=en",676,,,
2,"D Hany, W Robert, W Gary",Fog computing and the internet of things: a review. Big Data Cogn Comput,2018,,,,"https://scholar.google.com/scholar?cites=798330518375151783&as_sdt=2005&sciodt=0,5&hl=en",677,,,
2,"T Wang, G Zhang, MDZA Bhuiyan, A Liu, W Jia, M Xie",A Novel Trust Mechanism Based on Fog Computing in Sensor–Cloud System. Future Generation Computer Systems,2018,,,,"https://scholar.google.com/scholar?cites=17283708470035416295&as_sdt=2005&sciodt=0,5&hl=en",679,,,
2,"TC Hsu, H Yang, YC Chung, CH Hsu","A creative iot agriculture platform for cloud fog computing, Sustain",2018,Comput. Inf. Syst,,,"https://scholar.google.com/scholar?cites=2129082418335282452&as_sdt=2005&sciodt=0,5&hl=en",680,,,
